
A T O M   T Y P E S

IDX	TYPE	RING
 3600    360.18306    360.18516
 3610    360.16181    360.16398
 3620    360.13983    360.14207
 3630    360.11702    360.11935
 3640    360.09329    360.09572
 3650    360.06850    360.07104
 3660    360.04250    360.04517
 3670    360.01512    360.01794
 3680    359.98616    359.98915
 3690    359.95534    359.95853
 3700    359.92237    359.92579
 3710    359.88683    359.89054
 3720    359.84824    359.85228
 3730    359.80595    359.81039
 3740    359.75908    359.76403
 3750    359.70646    359.71207
 3760    359.64643    359.65288
 3770    359.58579    359.58846
 3780    359.56705    359.56888
 3790    359.54852    359.55041
 3800    359.52946    359.53140
 3810    359.50978    359.51178
 3820    359.48939    359.49147
 3830    359.46822    359.47038
 3840    359.44613    359.44839
 3850    359.42300    359.42537
 3860    359.39867    359.40118
 3870    359.37296    359.37561
 3880    359.34563    359.34845
 3890    359.31640    359.31943
 3900    359.28493    359.28820
 3910    359.25076    359.25433
 3920    359.21333    359.21726
 3930    359.17186    359.17625
 3940    359.12532    359.13028
 3950    359.07225    359.07796
 3960    359.01051    359.01721
 3970    358.97143    358.97315
 3980    358.95399    358.95576
 3990    358.93601    358.93784
 4000    358.91740    358.91930
 4010    358.89807    358.90005
 4020    358.87792    358.87998
 4030    358.85681    358.85898
 4040    358.83459    358.83688
 4050    358.81109    358.81352
 4060    358.78607    358.78866
 4070    358.75927    358.76206
 4080    358.73034    358.73336
 4090    358.69884    358.70214
 4100    358.66419    358.66784
 4110    358.62563    358.62972
 4120    358.58210    358.58676
 4130    358.53209    358.53749
 4140    358.47334    358.47977
 4150    358.43163    358.43328
 4160    358.41490    358.41660
 4170    358.39757    358.39934
 4180    358.37955    358.38139
 4190    358.36072    358.36265
 4200    358.34095    358.34299
 4210    358.32009    358.32224
 4220    358.29792    358.30022
 4230    358.27423    358.27669
 4240    358.24871    358.25137
 4250    358.22097    358.22388
 4260    358.19053    358.19374
 4270    358.15673    358.16032
 4280    358.11868    358.12274
 4290    358.07508    358.07978
 4300    358.02407    358.02963
 4310    357.96372    357.96963
 4320    357.94163    357.94317
 4330    357.92602    357.92762
 4340    357.90983    357.91149
 4350    357.89294    357.89467
 4360    357.87524    357.87706
 4370    357.85659    357.85851
 4380    357.83681    357.83885
 4390    357.81568    357.81787
 4400    357.79294    357.79531
 4410    357.76825    357.77083
 4420    357.74116    357.74401
 4430    357.71108    357.71427
 4440    357.67724    357.68085
 4450    357.63860    357.64276
 4460    357.59372    357.59859
 4470    357.54038    357.54625
 4480    357.50216    357.50356
 4490    357.48808    357.48952
 4500    357.47350    357.47499
 4510    357.45832    357.45988
 4520    357.44244    357.44407
 4530    357.42572    357.42744
 4540    357.40800    357.40983
 4550    357.38908    357.39104
 4560    357.36873    357.37085
 4570    357.34669    357.34900
 4580    357.32266    357.32518
 4590    357.29623    357.29901
 4600    357.26690    357.27001
 4610    357.23401    357.23751
 4620    357.19666    357.20066
 4630    357.15357    357.15823
 4640    357.10560    357.10899
 4650    357.09000    357.09135
 4660    357.07631    357.07771
 4670    357.06199    357.06346
 4680    357.04694    357.04849
 4690    357.03100    357.03265
 4700    357.01406    357.01582
 4710    356.99596    356.99784
 4720    356.97651    356.97853
 4730    356.95548    356.95768
 4740    356.93263    356.93502
 4750    356.90761    356.91024
 4760    356.88001    356.88292
 4770    356.84931    356.85257
 4780    356.81480    356.81848
 4790    356.77551    356.77973
 4800    356.73102    356.73511
 4810    356.71393    356.71520
 4820    356.70092    356.70226
 4830    356.68727    356.68867
 4840    356.67287    356.67435
 4850    356.65762    356.65920
 4860    356.64141    356.64309
 4870    356.62410    356.62589
 4880    356.60552    356.60745
 4890    356.58551    356.58759
 4900    356.56383    356.56610
 4910    356.54023    356.54270
 4920    356.51437    356.51708
 4930    356.48584    356.48885
 4940    356.45412    356.45748
 4950    356.41850    356.42229
 4960    356.38158    356.38359
 4970    356.36876    356.36998
 4980    356.35624    356.35753
 4990    356.34306    356.34442
 5000    356.32915    356.33058
 5010    356.31440    356.31593
 5020    356.29872    356.30034
 5030    356.28199    356.28372
 5040    356.26408    356.26594
 5050    356.24483    356.24684
 5060    356.22408    356.22624
 5070    356.20161    356.20395
 5080    356.17716    356.17972
 5090    356.15044    356.15324
 5100    356.12104    356.12414
 5110    356.08889    356.09207
 5120    356.07379    356.07489
 5130    356.06260    356.06375
 5140    356.05085    356.05206
 5150    356.03849    356.03976
 5160    356.02544    356.02678
 5170    356.01139    356.01286
 5180    355.99582    355.99747
 5190    355.97831    355.98019
 5200    355.95823    355.96040
 5210    355.93463    355.93721
 5220    355.90605    355.90923
 5230    355.87104    355.87478
 5240    355.84442    355.84533
 5250    355.83525    355.83619
 5260    355.82571    355.82668
 5270    355.81575    355.81677
 5280    355.80525    355.80634
 5290    355.79394    355.79512
 5300    355.78158    355.78288
 5310    355.76790    355.76935
 5320    355.75251    355.75415
 5330    355.73482    355.73673
 5340    355.71400    355.71628
 5350    355.68871    355.69153
 5360    355.65665    355.66032
 5370    355.61841    355.61997
 5380    355.61029    355.61104
 5390    355.60269    355.60347
 5400    355.59486    355.59566
 5410    355.58675    355.58758
 5420    355.57825    355.57913
 5430    355.56920    355.57014
 5440    355.55945    355.56047
 5450    355.54882    355.54994
 5460    355.53706    355.53830
 5470    355.52380    355.52522
 5480    355.50855    355.51020
 5490    355.49056    355.49254
 5500    355.46862    355.47107
 5510    355.44065    355.44386
 5520    355.40500    355.40777
 5530    355.39583    355.39655
